Station_A,Station_B,Capacity,Service
Reveles,Verride,4,STANDARD
Verride,Marujal,2,STANDARD
Marujal,Montemor,2,STANDARD
Lisboa Rossio,Benfica,10,STANDARD
Benfica,Santa Cruz/Damaia,2,STANDARD
Santa Cruz/Damaia,Reboleira,2,STANDARD
Reboleira,Queluz-Belas,2,STANDARD
Queluz-Belas,Monte Abraao,4,STANDARD
Monte Abraao,Massama-Barcarena,2,STANDARD
Massama-Barcarena,Agualva-Cacem,4,STANDARD
Agualva-Cacem,Rio de Mouro,2,STANDARD
Rio de Mouro,Merces,4,STANDARD
Merces,Algueirao-Mem Martins,2,STANDARD
Algueirao-Mem Martins,Portela de Sintra,2,STANDARD
Portela de Sintra,Sintra,4,STANDARD
Entroncamento,Barquinha,4,STANDARD
Barquinha,Tancos,2,STANDARD
Tancos,Almourol,4,STANDARD
Almourol,Praia do Ribatejo,4,STANDARD
Praia do Ribatejo,Tramagal,6,STANDARD
Amoreiras-Odemira,Luzianes,6,STANDARD
Luzianes,Santa Clara-Saboia,4,STANDARD
Santa Clara-Saboia,Pereiras,2,STANDARD
Pereiras,Sao Marcos,4,STANDARD
Sao Marcos,Messines-Alte,4,STANDARD
Venda do Alcaide,Palmela,6,STANDARD
Palmela,Palmela - A,2,STANDARD
Palmela - A,Praca do Quebedo,2,STANDARD
Praca do Quebedo,Setubal-Mar,8,STANDARD
Setubal-Mar,Cachofarra,2,STANDARD
Cachofarra,Praias-Sado-A,2,STANDARD
Praias-Sado-A,Vale da Rosa,10,STANDARD
Vale da Rosa,Mourisca-Sado,2,STANDARD
Mourisca-Sado,Aguas de Moura,8,STANDARD
Pinheiro,Monte Novo-Palma,4,STANDARD
Monte Novo-Palma,Vale de Guizo,4,STANDARD
Vale de Guizo,Grandola Norte,4,STANDARD
Grandola Norte,Grandola,4,STANDARD
Grandola,Canal-Caveira,4,STANDARD
Canal-Caveira,Azinheira dos Barros,4,STANDARD
Azinheira dos Barros,Azinheira dos Barros – A,2,STANDARD
Azinheira dos Barros – A,Lousal,4,STANDARD
Lousal,Alvalade,2,STANDARD
Alvalade,Bifurcacao de Torre Va,4,STANDARD
Barreiro,Barreiro-A,2,STANDARD
Barreiro-A,Lavradio,4,STANDARD
Lavradio,Baixa da Banheira,2,STANDARD
Baixa da Banheira,Alhos Vedros,2,STANDARD
Alhos Vedros,Moita,6,STANDARD
Moita,Penteado,2,STANDARD
Penteado,Fernando Po,2,STANDARD
Fernando Po,Pegoes,6,STANDARD
Pegoes,Sao Joao das Craveiras,2,STANDARD
Sao Joao das Craveiras,Bombel,4,STANDARD
Bombel,Vendas Novas,4,STANDARD
Vendas Novas,Torre da Gadanha,4,STANDARD
Torre da Gadanha,Casa Branca,4,STANDARD
Casa Branca,Alcacovas,2,STANDARD
Alcacovas,Viana,2,STANDARD
Viana,Vila Nova da Baronia,4,STANDARD
Vila Nova da Baronia,Alvito,2,STANDARD
Alvito,Cuba,6,STANDARD
Cuba,Beja,8,STANDARD
Beja,Ourique,4,STANDARD
Ourique,Panoias,2,STANDARD
Algoz,Alcantarilha,4,STANDARD
Alcantarilha,Poco Barreto,2,STANDARD
Poco Barreto,Estombar-Lagoa,4,STANDARD
Estombar-Lagoa,Ferragudo,2,STANDARD
Ferragudo,Portimao,6,STANDARD
Portimao,Mexilhoeira Grande,4,STANDARD
